date,description
2015-03-23T00:00:00.000Z,Cruz
2015-04-12T00:00:00.000Z,Clinton
2015-04-30T00:00:00.000Z,Sanders
2015-06-16T00:00:00.000Z,Trump
2015-08-06T00:00:00.000Z,1st Debate (R) 
2015-10-13T00:00:00.000Z,1st Debate (D) 
2016-02-01T00:00:00.000Z,IA
2016-02-09T00:00:00.000Z,NH
2016-03-01T00:00:00.000Z,Super Tuesday
2016-04-19T00:00:00.000Z,NY
2016-05-03T00:00:00.000Z,Cruz out
